,CO_MUNICIPIO_RESIDENCIA,NO_MUNICIPIO_RESIDENCIA,CO_UF_RESIDENCIA,SG_UF_RESIDENCIA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
816,2207603,Parnaguá,22,PI,419.3052287581699,435.69937106918235,452.65031446540877,448.94705882352935,467.0440251572327
817,2207702,Parnaíba,22,PI,468.13543186831834,492.67660685154976,509.70401305057095,502.53390463261496,579.2300163132137
818,2207751,Passagem Franca do Piauí,22,PI,425.54615384615386,453.6,469.4153846153846,454.49807692307695,538.8461538461538
819,2207777,Patos do Piauí,22,PI,437.519587628866,471.0475247524753,482.1405940594059,472.3298969072165,540.5940594059406
820,2207793,Pau D'Arco do Piauí,22,PI,440.8142857142857,451.00701754385966,469.29298245614035,470.66785714285714,469.4736842105263
821,2207801,Paulistana,22,PI,456.04372294372297,474.06839916839914,489.1613305613306,499.66883116883116,591.5176715176715
822,2207850,Pavussu,22,PI,429.3838709677419,446.2909090909091,470.91212121212124,445.32903225806456,462.42424242424244
823,2207900,Pedro II,22,PI,458.4593849416755,482.79482401656315,500.4505175983437,494.30901378579006,570.2070393374742
824,2207934,Pedro Laurentino,22,PI,430.06976744186045,456.3456521739131,483.0673913043478,472.0046511627907,487.82608695652175
825,2207959,Nova Santa Rita,22,PI,410.4565789473684,424.72597402597404,447.1623376623377,448.99078947368423,433.5064935064935
826,2208007,Picos,22,PI,464.43274136260897,493.95363864491844,508.277634880803,512.0010332579916,590.5520702634881
827,2208106,Pimenteiras,22,PI,442.0324022346369,457.752688172043,483.06021505376344,477.97430167597764,491.2903225806452
828,2208205,Pio IX,22,PI,450.00051546391757,478.5,488.61560975609757,492.2969072164949,519.219512195122
829,2208304,Piracuruca,22,PI,455.1997644287397,487.93606370875995,502.9480091012514,500.3764428739693,576.13196814562
830,2208403,Piripiri,22,PI,453.9423454367026,483.6457997152349,501.1997152349312,488.07001962708534,573.1846226862838
831,2208502,Porto,22,PI,437.18479532163747,460.1931034482759,475.54540229885055,466.9011695906433,478.5057471264368
832,2208551,Porto Alegre do Piauí,22,PI,422.7461538461538,450.5625,473.18500000000006,461.48205128205126,552.0
833,2208601,Prata do Piauí,22,PI,450.688679245283,480.31666666666666,474.67777777777775,499.66415094339624,514.4444444444445
834,2208650,Queimada Nova,22,PI,434.5561797752809,446.53655913978497,475.794623655914,477.2123595505618,540.0
835,2208700,Redenção do Gurguéia,22,PI,434.94533333333334,448.58917748917753,461.4917748917749,456.9146666666667,507.35930735930737
836,2208809,Regeneração,22,PI,432.2986175115208,453.02938596491225,472.97719298245613,464.62695852534563,510.219298245614
837,2208858,Riacho Frio,22,PI,422.0,448.2299065420561,451.14953271028037,459.79029126213595,508.41121495327104
838,2208874,Ribeira do Piauí,22,PI,417.572972972973,436.94533333333334,459.256,452.3081081081082,462.4
839,2208908,Ribeiro Gonçalves,22,PI,431.5313953488372,440.5388888888889,464.59444444444443,456.59534883720926,467.77777777777777
840,2209005,Rio Grande do Piauí,22,PI,432.76847826086953,449.104255319149,470.5446808510638,471.3967391304348,485.74468085106383
841,2209104,Santa Cruz do Piauí,22,PI,445.72791878172586,459.5781094527363,479.5567164179104,496.3796954314721,506.2686567164179
842,2209153,Santa Cruz dos Milagres,22,PI,435.98026315789474,470.26623376623377,481.0077922077922,485.6197368421052,525.1948051948052
843,2209203,Santa Filomena,22,PI,427.7009900990099,454.6038461538462,473.05384615384617,459.4861386138614,483.84615384615387
844,2209302,Santa Luz,22,PI,428.3412162162162,453.1290540540541,475.57162162162166,461.5222972972973,519.4594594594595
845,2209351,Santana do Piauí,22,PI,448.3521126760563,487.30972222222226,496.6138888888888,502.6056338028169,568.0555555555555
846,2209377,Santa Rosa do Piauí,22,PI,427.20173913043476,441.8126050420168,462.29999999999995,470.6347826086957,492.7731092436975
847,2209401,Santo Antônio de Lisboa,22,PI,453.7406896551724,481.80133333333333,491.04466666666667,509.0675862068966,562.6666666666666
848,2209450,Santo Antônio dos Milagres,22,PI,412.40843373493976,445.07126436781607,463.69770114942526,453.11807228915666,486.4367816091954
849,2209500,Santo Inácio do Piauí,22,PI,439.0396226415094,455.0281818181818,473.56,489.77641509433965,558.3636363636364
850,2209559,São Braz do Piauí,22,PI,429.81777777777774,458.1989130434783,472.1989130434783,471.4233333333333,496.30434782608694
851,2209609,São Félix do Piauí,22,PI,443.7586206896552,470.42068965517245,488.9913793103448,494.0189655172413,552.0689655172414
852,2209658,São Francisco de Assis do Piauí,22,PI,432.9666666666667,462.4138461538462,477.98307692307696,490.3777777777778,542.1538461538462
853,2209708,São Francisco do Piauí,22,PI,435.78079470198674,460.7311688311689,477.38961038961037,483.3211920529801,580.3896103896104
854,2209757,São Gonçalo do Gurguéia,22,PI,429.6166666666667,455.3157894736842,484.06842105263155,464.6194444444444,455.7894736842105
855,2209807,São Gonçalo do Piauí,22,PI,433.46832298136644,455.72634730538925,473.34131736526945,473.5944099378882,482.9940119760479
856,2209856,São João da Canabrava,22,PI,448.3901098901099,472.20978260869566,480.75,487.77582417582414,563.0434782608696
857,2209872,São João da Fronteira,22,PI,436.39529411764704,467.17058823529413,485.05411764705883,472.0305882352941,538.8235294117648
858,2209906,São João da Serra,22,PI,440.1114285714285,467.5990825688074,480.95412844036696,464.612380952381,533.9449541284404
859,2209955,São João da Varjota,22,PI,438.12976190476195,450.0301204819277,470.3313253012048,479.33214285714286,488.67469879518075
860,2209971,São João do Arraial,22,PI,438.7271317829458,462.9053846153846,480.3423076923077,467.1782945736434,513.6923076923077
